date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:41	12329/12329	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267ce9a07-3029%22	https://static.tildacdn.com/js/tilda-video-1.0.min.js	C:/ddddd/awdawd/static.tildacdn.com/js/tilda-video-1.0.min.js	(from https://www.zavod-red-flag.ru/)
21:47:42	15699/15699	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267f77d3d-3d53%22	https://static.tildacdn.com/js/tilda-video-processor-1.0.min.js	C:/ddddd/awdawd/static.tildacdn.com/js/tilda-video-processor-1.0.min.js	(from https://www.zavod-red-flag.ru/)
21:47:42	3237/3237	---MCZ	200	added ('OK')	application/javascript	etag:W/%22605342c5-ca5%22	https://static.tildacdn.com/js/tilda-slides-1.1.min.js	C:/ddddd/awdawd/static.tildacdn.com/js/tilda-slides-1.1.min.js	(from https://www.zavod-red-flag.ru/)
21:47:42	11974/11974	---MCZ	200	added ('OK')	application/javascript	etag:W/%22655c8206-2ec6%22	https://static.tildacdn.com/js/tilda-map-1.0.min.js	C:/ddddd/awdawd/static.tildacdn.com/js/tilda-map-1.0.min.js	(from https://www.zavod-red-flag.ru/)
21:47:42	11155/11155	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267a34cd2-2b93%22	https://static.tildacdn.com/js/tilda-menu-1.0.min.js	C:/ddddd/awdawd/static.tildacdn.com/js/tilda-menu-1.0.min.js	(from https://www.zavod-red-flag.ru/)
21:47:43	29512/29512	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267bd7d73-7348%22	https://static.tildacdn.com/js/tilda-zoom-2.0.min.js	C:/ddddd/awdawd/static.tildacdn.com/js/tilda-zoom-2.0.min.js	(from https://www.zavod-red-flag.ru/)
21:47:43	1879/1879	---MCZ	200	added ('OK')	application/javascript	etag:W/%226530dc3b-757%22	https://static.tildacdn.com/js/tilda-skiplink-1.0.min.js	C:/ddddd/awdawd/static.tildacdn.com/js/tilda-skiplink-1.0.min.js	(from https://www.zavod-red-flag.ru/)
21:47:43	13408/13408	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267b32cec-3460%22	https://static.tildacdn.com/js/tilda-events-1.0.min.js	C:/ddddd/awdawd/static.tildacdn.com/js/tilda-events-1.0.min.js	(from https://www.zavod-red-flag.ru/)
21:47:43	0/0	---M-Z	302	error ('Found')	text/html	date:Mon,%2021%20Apr%202025%2016:47:43%20GMT	https://vk.com/js/api/openapi.js?161	C:/ddddd/awdawd/vk.com/js/api/openapi.26bd4c.delayed	(from https://www.zavod-red-flag.ru/)
21:47:44	57695/57695	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2019%20Apr%202025%2003:01:43%20GMT	https://vk.com/dist/public/api/openapi.7fd8db35650ba51a8f05c0269f8a1e87.js?161	C:/ddddd/awdawd/vk.com/dist/public/api/openapi.7fd8db35650ba51a8f05c0269f8a1e87bd4c.js	(from https://www.zavod-red-flag.ru/)
